time;real_rudolfskai;real_wallnergasse;real_elisabethkai;real_giselakai;real_schanzlgasse;real_kaufmann_steg;real_ischlerbahntrasse;real_alterbach;real_moosbrucker_weg
1;20.88659793814433;37.07142857142857;10.727272727272727;23.232824427480917;22.181818181818183;5.253588516746412;0.49624060150375937;1.2142857142857142;0.5
2;11.9106529209622;26.924812030075188;5.313131313131313;12.606870229007633;13.522727272727273;2.827751196172249;0.12030075187969924;0.39285714285714285;0.3125
3;10.034364261168385;29.533834586466167;4.5606060606060606;13.82824427480916;10.136363636363637;1.325358851674641;0.13533834586466165;0.6428571428571429;0.0625
4;7.687285223367698;28.857142857142858;4.136363636363637;11.568702290076336;5.613636363636363;2.2057416267942584;0.18796992481203006;0.17857142857142858;0
5;7.298969072164948;31.68796992481203;4.328282828282829;42.37786259541985;5.386363636363637;4.014354066985646;0.5714285714285714;1.1428571428571428;0.4375
6;25.74137931034483;38.79323308270677;16.11111111111111;61.770992366412216;16.568181818181817;15.138095238095238;4.7293233082706765;9.344827586206897;3
7;129.7206896551724;97.40225563909775;59.31818181818182;135.73664122137404;101.79545454545455;64.87619047619047;25.360902255639097;43.724137931034484;7.8125
8;410.0137931034483;229.56015037593986;195.43939393939394;332.8396946564886;270.6136363636364;245.4047619047619;31.721804511278197;82.55172413793103;17.875
9;396.8758620689655;166.12781954887217;170.4090909090909;271.96946564885496;359.95454545454544;144.94285714285715;17.360902255639097;45.48275862068966;10.3125
10;295.8344827586207;111.06015037593986;119.46969696969697;199.53435114503816;383.77272727272725;105.92380952380952;12.338345864661655;32.96551724137931;7.3125
11;280.04137931034484;100.3609022556391;115.26767676767676;196.34351145038167;463.6363636363636;135.46190476190475;15.639097744360903;36.172413793103445;8.5625
12;281.4448275862069;107.57894736842105;123.89393939393939;211.66412213740458;562.3863636363636;148.60476190476192;18.18796992481203;41.93103448275862;11.0625
13;342.5601374570447;124.71052631578948;147.16666666666666;241.6679389312977;641.3181818181819;176.24761904761905;21.06015037593985;50.241379310344826;11.875
14;350.11683848797253;133.52255639097746;167.36363636363637;264.10687022900765;735.1136363636364;198.47142857142856;24.18045112781955;55.13793103448276;15.375
15;328.8659793814433;125.4812030075188;164.3838383838384;263.5610687022901;664.5227272727273;202.6;26.533834586466167;61.6551724137931;13.875
16;337.8109965635739;137.28571428571428;172.67171717171718;277.8893129770992;623.5454545454545;211.72857142857143;30.50375939849624;72;15.75
17;415.4295532646048;175.16917293233084;207.46464646464648;315.98473282442745;594.5909090909091;234.64285714285714;38.78195488721804;93.65517241379311;20.5
18;408.07216494845363;177.77067669172934;203.45454545454547;304.39694656488547;575.8409090909091;200.36666666666667;29.105263157894736;89.06896551724138;19.375
19;337.5257731958763;142.4360902255639;156.58080808080808;241.65267175572518;452.77272727272725;146.61904761904762;16.849624060150376;56.10344827586207;14.5
20;212.91752577319588;98.86466165413533;94.96969696969697;159.63358778625954;299.9318181818182;83.62380952380953;7.142857142857143;26.79310344827586;9.1875
21;136.96907216494844;72.00751879699249;58.76767676767677;118.30152671755725;191.72727272727272;49.88095238095238;3.43609022556391;14.724137931034482;3.75
22;96.53264604810997;67.4812030075188;44.63636363636363;118.3969465648855;128;32.63809523809524;2.5037593984962405;8.655172413793103;2.5
23;76.30240549828179;56.714285714285715;38.282828282828284;106.8854961832061;102.02272727272727;21.885714285714286;1.7744360902255638;6.931034482758621;2.3125
24;39.51748251748252;44.90114068441065;18.74742268041237;66.32818532818533;46.76744186046512;9.297560975609755;1.450381679389313;4.714285714285714;1.1333333333333333
