Time in min;Elisabethkai;Giselakai;Rudolfskai;Kaufmannsteg
0;6;11;8;3
15;2;9;4;1
30;5;9;6;0
45;1;7;1;1
60;3;1;7;0
75;3;4;6;1
90;6;1;3;0
105;2;2;4;0
120;1;2;5;0
135;5;5;2;0
150;5;8;4;2
165;5;8;4;0
180;2;3;5;0
195;3;1;5;0
210;2;2;4;0
225;1;0;1;3
240;1;2;5;1
255;1;2;3;0
270;2;3;1;0
285;4;2;6;0
300;2;3;6;2
315;5;6;5;2
330;8;8;6;4
345;13;18;11;6
360;15;16;16;7
375;22;24;30;21
390;37;59;27;26
405;48;64;62;37
420;54;76;61;80
435;87;116;107;77
450;124;148;163;71
465;93;175;177;48
480;87;101;116;34
495;77;111;120;41
510;82;98;122;41
525;69;124;132;24
540;68;128;126;19
555;57;127;97;32
570;76;116;80;34
585;81;140;111;29
600;66;101;89;34
615;61;106;93;31
630;67;112;99;28
645;70;115;104;34
660;57;146;119;39
675;54;147;110;34
690;62;113;93;34
705;44;131;92;39
720;55;121;87;51
735;62;105;127;48
750;68;123;100;35
765;39;132;106;53
780;51;110;130;37
795;63;114;91;45
810;73;115;74;83
825;74;116;112;64
840;72;113;111;39
855;70;128;96;51
870;50;104;77;39
885;64;103;107;42
900;40;89;94;54
915;42;111;97;55
930;51;116;95;49
945;58;126;99;45
960;72;123;108;77
975;85;123;108;68
990;103;148;108;60
1005;108;163;168;72
1020;84;126;129;83
1035;84;141;128;83
1050;95;159;124;73
1065;117;136;128;59
1080;101;169;93;64
1095;87;142;109;46
1110;74;120;97;48
1125;86;129;100;28
1140;55;135;81;45
1155;64;131;77;20
1170;57;93;84;49
1185;46;78;61;26
1200;37;72;65;35
1215;46;68;42;18
1230;28;59;41;22
1245;34;47;43;18
1260;26;61;25;14
1275;20;48;27;13
1290;36;46;33;4
1305;24;69;26;5
1320;19;36;36;4
1335;23;40;36;9
1350;19;25;31;7
1365;13;23;23;5
1380;13;29;34;1
1395;15;27;21;3
1410;12;26;11;3
1425;6;25;11;5
